component,parameter,value
Global,Layout,DPSK 66%
Global,Sweep Iteration,1/1
Low Pass Bessel Filter,Cutoff frequency,0.8 * Bit rate  Hz
Loop Control,Number of loops,6
Loop Control,Length,25  km
EDFA Ideal,Gain,5  dB
EDFA Ideal,Noise figure,6  dB
EDFA Ideal,Length,10  km
EDFA Ideal_1,Gain,5  dB
EDFA Ideal_1,Noise figure,6  dB
EDFA Ideal_1,Length,25  km
EDFA Ideal_2,Gain,5  dB
EDFA Ideal_2,Noise figure,6  dB
PRBS Generator,Bit rate,Bit rate  Bits/s
CW Laser,Frequency,193.1  THz
CW Laser,Power,4  mW
LiNb MZ Modulator 2,Frequency,Bit rate/2  Hz
LiNb MZ Modulator 2,Phase,0  deg
Precoder,Delay,1  bits
Precoder,Gain,-1
